"itemid";"clock";"num";"value_min";"value_avg";"value_max"
159138;1562004000;60;229067056;242827069;245314264
159138;1562000400;60;195122712;233407229;247989832
159138;1561996800;60;229787032;244146178;246334640
159138;1561993200;60;178703728;236042680;245414328
159138;1561989600;60;180351504;223697454;245089880
159138;1561986000;60;207120688;235128301;245976840
159138;1561982400;60;171871216;225126164;245341080
159138;1561978800;60;69268320;144192568;207211792
159138;1561975200;60;27620048;66350685;106360432
159138;1561971600;60;385984;10612299;46525696
159138;1561968000;60;256344;1307635;7281472
159138;1561964400;60;281944;1285918;4972416
159138;1561960800;60;747168;3121902;38653840
159138;1561957200;60;300784;1803035;5667480
159138;1561953600;60;774504;3051905;8512960
159138;1561950000;60;607768;2649116;7642360
159138;1561946400;60;507496;3206992;6348072
159138;1561942800;60;733392;4671397;10700008
159138;1561939200;60;3148136;6610935;13268296
159138;1561935600;60;3322600;6490547;16801448
159138;1561932000;60;3405168;6687887;11744944
159138;1561928400;60;1722840;4883384;10806040
159138;1561924800;60;1235280;11619803;37178232
159138;1561921200;60;694928;4131798;9526832
159138;1561917600;60;552576;2421584;7467296
159138;1561914000;60;901136;2672559;5675112
159138;1561910400;60;727104;3531590;10567064
159138;1561906800;60;801624;3401711;15252528
159138;1561903200;60;1700680;6950268;24504320
159138;1561899600;60;1792232;7866282;41290352
159138;1561896000;60;1660960;5418908;22829448
159138;1561892400;60;381224;3031966;9730488
159138;1561888800;60;167672;1866046;6073776
159138;1561885200;60;150832;1883550;9111360
159138;1561881600;59;270744;1862788;7445792
159138;1561878000;60;264568;811057;2859768
159138;1561874400;60;238240;3487093;17835344
159138;1561870800;60;193744;4201117;18784344
159138;1561867200;60;170368;2189655;8178872
159138;1561863600;60;547120;3060916;16869736
159138;1561860000;60;338984;2780489;7083840
159138;1561856400;60;916728;4043867;17147888
159138;1561852800;60;1237248;4476454;11337616
159138;1561849200;60;729656;2925469;8389824
159138;1561845600;60;556032;3314560;11132944
159138;1561842000;60;531016;1802428;6350168
159138;1561838400;60;1358224;3909888;11046912
159138;1561834800;60;4820464;25362442;46545976
159138;1561831200;60;10946216;19170066;41530256
159138;1561827600;60;12795528;23425874;46762376
159138;1561824000;60;12538720;31716960;64258832
159138;1561820400;60;14784512;28215206;58060120
159138;1561816800;60;7727416;28427310;54036776
159138;1561813200;60;21713272;31987517;89651944
159138;1561809600;60;21123328;62731447;158722528
159138;1561806000;60;11567472;26323949;66892600
159138;1561802400;60;2052544;17742938;112293264
159138;1561798800;60;485752;3694689;18236864
159138;1561795200;60;316736;1294297;8020872
159138;1561791600;60;318664;1265689;11855792
159138;1561788000;60;331232;4356502;41291056
159138;1561784400;60;1271720;6342930;26579056
159138;1561780800;60;2045584;5911936;11716688
159138;1561777200;60;2152184;8555590;23613368
159138;1561773600;60;1817176;11844856;21899672
159138;1561770000;60;1762064;8457319;16686208
159138;1561766400;60;5982888;19700826;37861464
159138;1561762800;60;28874624;57904064;95119296
159138;1561759200;60;52025120;77107041;169706032
159138;1561755600;60;75828624;122706234;224412336
159138;1561752000;60;92443504;133218042;227455096
159138;1561748400;60;162575952;213202666;247748672
159138;1561744800;59;191691104;225511295;245597568
159138;1561741200;60;202475728;228908487;246003888
159138;1561737600;60;171196680;219823208;245084488
159138;1561734000;60;147695880;212782728;246002240
159138;1561730400;60;146104408;215292212;245976208
159138;1561726800;60;190882168;233372020;245435608
159138;1561723200;60;154794976;206164843;243205344
159138;1561719600;60;85300200;132290196;210244976
159138;1561716000;60;28355832;79376450;140415784
159138;1561712400;60;3230224;15046460;53738448
159138;1561708800;60;2636664;5216159;19720840
159138;1561705200;60;2649632;3793148;17924976
159138;1561701600;60;2938440;5243218;19481496
159138;1561698000;60;2965592;7317404;26083672
159138;1561694400;60;2455800;8737482;31157664
159138;1561690800;60;3749144;8209329;26680808
159138;1561687200;60;3250888;8336306;23481096
159138;1561683600;60;5641176;9151610;16550240
159138;1561680000;60;8330832;29401239;69645280
159138;1561676400;60;36402864;77918198;143907928
159138;1561672800;60;64569504;102823180;141945712
159138;1561669200;60;77228904;110249199;157314120
159138;1561665600;60;85449696;132074492;194826472
159138;1561662000;60;169078384;224827406;248142656
159138;1561658400;60;243919336;245287394;248086736
159138;1561654800;60;240596664;245171041;248142920
159138;1561651200;60;224225984;242583750;245927960
159138;1561647600;60;219146320;240865622;245481640
159138;1561644000;60;174860408;221372622;245179136
159138;1561640400;60;178639464;228047558;245555656
159138;1561636800;60;167811392;208169322;244716208
159138;1561633200;60;84534288;165373307;244214024
159138;1561629600;60;22584848;67375925;135618976
159138;1561626000;60;2427576;15639031;45014184
159138;1561622400;60;2016352;3039955;9825056
159138;1561618800;60;2484224;4598343;14976112
159138;1561615200;60;2388400;3752441;10693232
159138;1561611600;60;2785128;3980971;14225968
159138;1561608000;60;2390152;5008592;12472552
159138;1561604400;60;2806352;6228018;21733368
159138;1561600800;60;4256224;9888463;27061320
159138;1561597200;60;3892360;9395750;20432520
159138;1561593600;60;7332520;33905422;73471240
159138;1561590000;60;45173440;69454424;108803720
159138;1561586400;60;56167512;82956908;132909856
159138;1561582800;60;68090144;111468672;180561048
159138;1561579200;60;100806608;148740283;242891704
159138;1561575600;60;133927856;216995595;245862784
159138;1561572000;60;207877696;239845078;248268656
159138;1561568400;60;196149032;237135265;246270432
159138;1561564800;60;217327768;239578237;245731392
159138;1561561200;60;190946368;232232999;245647984
159138;1561557600;60;186566960;222492934;246156528
159138;1561554000;60;201080336;233471001;247851784
159138;1561550400;60;196726872;235566378;245693440
159138;1561546800;60;107131960;186782679;245585152
159138;1561543200;60;27121704;80015141;161921608
159138;1561539600;60;1962200;16738062;56831080
159138;1561536000;60;1989904;5853996;20719928
159138;1561532400;60;1603352;2710056;11005296
159138;1561528800;60;2076928;4232163;15857624
159138;1561525200;60;2816320;5267684;14885480
159138;1561521600;60;2975024;5366600;10897144
159138;1561518000;37;4025336;6785137;24038296
159138;1561514400;60;4147104;7558416;27893008
159138;1561510800;60;5447680;17546200;39305752
159138;1561507200;60;26124408;40386217;74539088
159138;1561503600;60;49354032;85562817;158350672
159138;1561500000;60;100070712;142485568;202965248
159138;1561496400;60;111958432;146533001;201527200
159138;1561492800;59;130306080;167353819;211318768
159138;1561489200;60;168725464;220706126;245356896
159138;1561485600;60;206005416;237467247;246028936
159138;1561482000;60;196231376;236821971;247980544
159138;1561478400;60;111342680;227854851;246133800
159138;1561474800;60;169529168;220454673;245410032
159138;1561471200;60;158214656;213778067;245506440
159138;1561467600;60;177639024;225954137;245341568
159138;1561464000;60;164023424;208955455;243476528
159138;1561460400;60;38342416;160187223;245380968
159138;1561456800;60;23586240;67636275;123784688
159138;1561453200;60;1079352;11995869;44966256
159138;1561449600;60;949064;1966235;9960264
159138;1561446000;60;699896;2386495;13050136
159138;1561442400;60;677616;2666666;10769248
159138;1561438800;60;1078880;2392411;13347312
159138;1561435200;60;627224;5998936;21721904
159138;1561431600;60;987776;3453611;16845648
159138;1561428000;60;1250304;40546334;100381296
159138;1561424400;60;37485696;56700785;67821584
159138;1561420800;60;41015368;65326283;90381536
159138;1561417200;60;44692040;93379895;147673064
159138;1561413600;60;52668936;107576049;201235112
159138;1561410000;60;70970112;115218630;203072632
159138;1561406400;60;76351232;130884199;190307648
159138;1561402800;60;136150424;200310396;244311728
159138;1561399200;60;179965816;219943270;243079640
159138;1561395600;60;160652568;202434886;242777496
159138;1561392000;60;157681256;205600938;245347056
159138;1561388400;60;137963344;173460866;227245992
159138;1561384800;60;128744440;188514678;244642288
159138;1561381200;60;169051336;219187260;245195888
159138;1561377600;60;147460720;196977544;245169472
159138;1561374000;60;98179800;163566160;244207880
159138;1561370400;60;20733368;55283583;168425016
159138;1561366800;60;287256;9475216;29802960
159138;1561363200;60;194576;1681781;8418520
159138;1561359600;60;126856;1526226;10519208
159138;1561356000;60;131496;1566121;5079144
159138;1561352400;60;125656;1460822;13253304
159138;1561348800;60;133912;2987054;32500288
159138;1561345200;60;391528;3292780;25771128
159138;1561341600;60;403448;4997259;26663768
159138;1561338000;60;1255464;5302260;23240680
159138;1561334400;60;1010576;5322897;22735512
159138;1561330800;60;967648;4958520;23732064
159138;1561327200;60;540568;3814097;12631384
159138;1561323600;60;491984;1915440;5959512
159138;1561320000;60;433256;2851440;8579152
159138;1561316400;59;900952;3162152;14957008
159138;1561312800;60;2192608;4796996;9862256
159138;1561309200;60;1219896;4631527;11238640
159138;1561305600;60;1813672;4122576;9821736
159138;1561302000;60;497232;3456844;14842272
159138;1561298400;60;330144;4228671;16938040
159138;1561294800;60;2611056;6895871;16428176
159138;1561291200;60;3005560;7211273;20760160
159138;1561287600;60;498016;4204449;16457456
159138;1561284000;60;148328;711800;2902432
159138;1561280400;60;142240;982282;14471200
159138;1561276800;60;121640;1060987;6444688
159138;1561273200;60;197008;2701900;11607296
159138;1561269600;60;261656;1824557;6818216
159138;1561266000;60;482448;1343348;3843480
159138;1561262400;60;876384;6241188;25828760
159138;1561258800;60;691296;7008069;26836864
159138;1561255200;60;3154768;9818450;33619392
159138;1561251600;60;1854104;12445559;37671000
159138;1561248000;60;4513720;20549092;39030408
159138;1561244400;60;10880864;22579653;45304728
159138;1561240800;60;3199912;14079923;29352448
159138;1561237200;60;12408688;16400971;23319288
159138;1561233600;60;904704;7596900;21317904
159138;1561230000;59;2343736;11205659;42543880
159138;1561226400;60;4610416;11889833;28725760
159138;1561222800;60;5501208;12910089;31991880
159138;1561219200;60;7705456;16167912;34632192
159138;1561215600;60;4196136;11503904;25456120
159138;1561212000;60;5268328;16255569;39700920
159138;1561208400;60;8431728;21713763;102208272
159138;1561204800;60;7964600;17916450;40617496
159138;1561201200;60;6337568;23251587;68491696
159138;1561197600;60;1213840;5807284;40941136
159138;1561194000;60;262312;4606194;26231360
159138;1561190400;60;133208;916535;10418920
159138;1561186800;60;132544;714696;9867192
159138;1561183200;60;380104;1769260;11735384
159138;1561179600;60;161184;1636531;26047240
159138;1561176000;60;184256;3654539;28245640
159138;1561172400;60;257416;2605529;28392712
159138;1561168800;60;529472;4670192;18949552
159138;1561165200;60;597672;5404934;18668088
159138;1561161600;60;363888;3186586;14879472
159138;1561158000;60;1028840;4825050;14255968
159138;1561154400;60;1713568;6449114;21807632
159138;1561150800;60;2507432;13447794;105457632
159138;1561147200;60;5340592;12032730;22746800
159138;1561143600;60;4584592;18342195;115927040
159138;1561140000;60;7180896;20339467;46198304
159138;1561136400;60;13551848;29330888;47874776
159138;1561132800;60;7870088;21497572;41047864
159138;1561129200;60;16270048;27216150;42145144
159138;1561125600;60;7873624;22570336;33535928
159138;1561122000;60;20288904;32532757;65563264
159138;1561118400;60;11167936;25078975;63172288
159138;1561114800;60;13308736;20031461;33188792
159138;1561111200;60;1270072;12674455;20630424
159138;1561107600;60;10464472;15154164;57988136
159138;1561104000;60;152576;9198862;19229320
